GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-governments collection,org.egov.collection.integration.services,DebitAccountHeadDetailsServiceImpl,214,0,44,0,52,0,26,0,4,0
e-governments collection,org.egov.collection.integration.services,DishonorChequeService,2383,0,98,0,444,0,87,0,38,0
e-governments collection,org.egov.collection.integration.services,BillingIntegrationService,4,0,0,0,1,0,1,0,1,0
e-governments collection,org.egov.collection.integration.services,BillingIntegrationServiceStub,85,0,0,0,19,0,8,0,8,0
e-governments collection,org.egov.collection.integration.services,ReconciliationService,226,0,28,0,53,0,18,0,4,0
e-governments collection,org.egov.collection.integration.services,SchedularService,807,0,58,0,162,0,36,0,7,0
e-governments collection,org.egov.collection.integration.services,CollectionIntegrationServiceImpl,1636,0,122,0,308,0,84,0,23,0
e-governments collection,org.egov.collection.integration.services,RemittanceSchedulerService,254,0,24,0,55,0,15,0,3,0
e-governments collection,org.egov.collection.xml.converter,ReceiptAccountInfoConverter,35,0,0,0,9,0,4,0,4,0
e-governments collection,org.egov.collection.xml.converter,ConverterUtil,18,0,2,0,9,0,3,0,2,0
e-governments collection,org.egov.collection.xml.converter,ReceiptInstrumentInfoConverter,35,0,0,0,9,0,4,0,4,0
e-governments collection,org.egov.collection.xml.converter,BillReceiptInfoConverter,101,0,6,0,22,0,7,0,4,0
e-governments collection,org.egov.collection.utils,FinancialsVoucherUtil,58,0,4,0,19,0,6,0,4,0
e-governments collection,org.egov.collection.utils,FinancialsUtil,274,0,28,0,74,0,36,0,22,0
e-governments collection,org.egov.collection.utils,CollectionCommon,1789,0,160,0,350,0,107,0,27,0
e-governments collection,org.egov.collection.utils,CollectionsNumberGenerator,34,0,0,0,10,0,4,0,4,0
e-governments collection,org.egov.collection.utils,CollectionsUtil,2058,0,206,0,416,0,172,0,68,0
e-governments collection,org.egov.collection.service.dashboard,CollectionDashboardService,530,0,40,0,116,0,29,0,9,0
e-governments collection,org.egov.collection.service,CollectionService,150,0,10,0,36,0,10,0,5,0
e-governments collection,org.egov.collection.service,CollectionIndexService,70,0,8,0,20,0,7,0,3,0
e-governments collection,org.egov.collection.service,ReceiptHeaderService,4427,0,468,0,931,0,300,0,61,0
e-governments collection,org.egov.collection.service,RemittanceServiceImpl,5484,0,490,0,1049,0,294,0,47,0
e-governments collection,org.egov.collection.service,MisReceiptDetailService,39,0,2,0,16,0,4,0,3,0
e-governments collection,org.egov.collection.service,RemittanceService,269,0,20,0,56,0,17,0,7,0
e-governments collection,org.egov.collection.service,ReceiptHeaderService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
e-governments collection,org.egov.collection.service,ReceiptHeaderService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
e-governments collection,org.egov.collection.service,MisRemittanceDetailService,20,0,0,0,11,0,3,0,3,0
e-governments collection,org.egov.collection.service,CollectionReportService,1013,0,98,0,226,0,60,0,11,0
e-governments collection,org.egov.collection.service,ChallanService,21,0,0,0,9,0,5,0,5,0
e-governments collection,org.egov.collection.service,CollectionReportHeadWiseService,769,0,72,0,152,0,41,0,5,0
e-governments collection,org.egov.collection.constants,CollectionConstants.new TreeMap() {...},23,0,0,0,6,0,1,0,1,0
e-governments collection,org.egov.collection.constants,CollectionConstants.new TreeMap() {...},23,0,0,0,6,0,1,0,1,0
e-governments collection,org.egov.collection.constants,CollectionConstants.new ArrayList() {...},23,0,0,0,7,0,1,0,1,0
e-governments collection,org.egov.collection.constants,CollectionConstants.new ArrayList() {...},15,0,0,0,5,0,1,0,1,0
e-governments collection,org.egov.collection.constants,CollectionConstants,119,0,0,0,12,0,2,0,2,0
e-governments collection,org.egov.collection.integration.models,ReceiptInstrumentInfoImpl,94,0,8,0,24,0,17,0,13,0
e-governments collection,org.egov.collection.integration.models,ReceiptAccountInfoImpl,117,0,14,0,19,0,22,0,15,0
e-governments collection,org.egov.collection.integration.models,BillAccountDetails.PURPOSE,128,0,0,0,2,0,4,0,4,0
e-governments collection,org.egov.collection.integration.models,ResponseAXIS,137,0,0,0,36,0,24,0,24,0
e-governments collection,org.egov.collection.integration.models,PaymentInfoRequest,31,0,0,0,13,0,9,0,9,0
e-governments collection,org.egov.collection.integration.models,ResponseAtomReconcilation,87,0,0,0,37,0,25,0,25,0
e-governments collection,org.egov.collection.integration.models,ResponseAtom,13,0,0,0,5,0,3,0,3,0
e-governments collection,org.egov.collection.integration.models,ReceiptAmountInfo,111,0,0,0,45,0,25,0,25,0
e-governments collection,org.egov.collection.integration.models,ReceiptCancellationInfo,20,0,0,0,8,0,5,0,5,0
e-governments collection,org.egov.collection.integration.models,PaymentInfoChequeDD,66,0,0,0,28,0,14,0,14,0
e-governments collection,org.egov.collection.integration.models,BillReceiptInfoImpl,807,0,82,0,145,0,83,0,42,0
