GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-governments collection web,org.egov.collection.web.actions.receipts,CollectionsWorkflowAction,594,0,30,0,132,0,62,0,47,0
e-governments collection web,org.egov.collection.web.actions.receipts,DishonoredChequeAction,1044,0,34,0,244,0,79,0,62,0
e-governments collection web,org.egov.collection.web.actions.receipts,SearchChallanAction,484,0,32,0,103,0,41,0,25,0
e-governments collection web,org.egov.collection.web.actions.receipts,ChallanAction,2913,0,258,0,661,0,260,0,131,0
e-governments collection web,org.egov.collection.web.actions.receipts,ReceiptAction,5511,0,536,0,1217,0,464,0,195,0
e-governments collection web,org.egov.collection.web.actions.receipts,SearchReceiptAction,7428,0,872,0,1514,0,522,0,86,0
e-governments collection web,org.egov.collection.web.actions.receipts,AjaxReceiptCreateAction,2009,0,166,0,311,0,133,0,50,0
e-governments collection web,org.egov.collection.web.actions.receipts,BankRemittanceAction,1593,0,106,0,406,0,181,0,128,0
e-governments collection web,org.egov.collection.web.actions.receipts,ChequeRemittanceAction,1604,0,100,0,405,0,179,0,129,0
e-governments collection web,org.egov.collection.web.actions.receipts,AjaxBankRemittanceAction,650,0,42,0,130,0,56,0,35,0
e-governments collection web,org.egov.collection.web.actions.receipts,BankSearchAction,51,0,2,0,13,0,8,0,7,0
e-governments collection web,org.egov.collection.web.actions.receipts,AjaxChallanApprovalAction,94,0,6,0,28,0,16,0,13,0
e-governments collection web,org.egov.collection.web.actions.receipts,ReceiptNumberSearchAction,68,0,4,0,18,0,11,0,9,0
e-governments collection web,org.egov.collection.web.actions.citizen.reports,OnlinePaymentResultAdaptor,97,0,8,0,21,0,6,0,2,0
e-governments collection web,org.egov.collection.web.actions.citizen.reports,OnlinePaymentReportController,125,0,2,0,30,0,7,0,6,0
e-governments collection web,org.egov.collection.web.actions.citizen,SearchOnlineReceiptAction,320,0,16,0,75,0,29,0,21,0
e-governments collection web,org.egov.collection.web.actions.citizen,OnlineReceiptAction,1548,0,100,0,342,0,128,0,78,0
e-governments collection web,org.egov.collection.web.controller,RestCollectionController,32,0,2,0,5,0,3,0,2,0
e-governments collection web,org.egov.collection.web.controller,ChequeDishonourController,213,0,8,0,44,0,13,0,9,0
e-governments collection web,org.egov.collection.web.controller,AjaxControllerBankRemittance,143,0,10,0,27,0,7,0,2,0
e-governments collection web,org.egov.collection.web.actions.reports,RemittanceStatementReportAction,930,0,46,0,191,0,71,0,48,0
e-governments collection web,org.egov.collection.web.actions.reports,BankRemittanceReportAction,57,0,2,0,18,0,9,0,8,0
e-governments collection web,org.egov.collection.web.actions.reports,CollectionSummaryHeadWiseAction,356,0,8,0,87,0,37,0,33,0
e-governments collection web,org.egov.collection.web.actions.reports,OnlineTransactionReportAction,196,0,0,0,51,0,25,0,25,0
e-governments collection web,org.egov.collection.web.actions.reports,CashCollectionReportAction,363,0,0,0,82,0,30,0,30,0
e-governments collection web,org.egov.collection.web.actions.reports,CollectionSummaryAction,322,0,6,0,79,0,35,0,32,0
e-governments collection web,org.egov.collection.web.actions.reports,DishonoredChequeReportAction,176,0,0,0,51,0,30,0,30,0
e-governments collection web,org.egov.collection.web.actions.reports,ReceiptRegisterReportAction,278,0,0,0,71,0,31,0,31,0
e-governments collection web,org.egov.collection.web.actions.reports,ChequeCollectionReportAction,271,0,0,0,64,0,25,0,25,0
e-governments collection web,org.egov.collection.web.actions.reports,RemittanceVoucherReportAction,343,0,8,0,85,0,33,0,29,0
e-governments collection web,org.egov.collection.web.actions.reports,PendingChallansReportAction,98,0,2,0,29,0,14,0,13,0
e-governments collection web,org.egov.collection.web.controller.dashboard,CollectionDashboardController,335,0,14,0,54,0,13,0,6,0
e-governments collection web,org.egov.collection.web.controller.report,ChequeDishonouredReportController,102,0,0,0,25,0,10,0,10,0
e-governments collection web,org.egov.collection.web.actions.service,ServiceDetailsAction,1254,0,138,0,273,0,116,0,47,0
e-governments collection web,org.egov.collection.web.actions.service,ServiceTypeToBankAccountMappingAction,835,0,78,0,186,0,76,0,37,0
e-governments collection web,org.egov.collection.web.actions.service,ServiceCategoryAction,95,0,0,0,22,0,11,0,11,0
e-governments collection web,org.egov.collection.web.actions.service,BranchUserMapAction,208,0,12,0,56,0,25,0,19,0
