GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-governments egi,org.egov.infra.config.persistence.datasource,DatasourceConfiguration,18,0,0,0,5,0,2,0,2,0
e-governments egi,org.egov.infra.config.persistence.datasource,DatasourceConfigCondition,17,0,2,0,3,0,4,0,3,0
e-governments egi,org.egov.infra.web.support.search,DataTableSearchRequest,31,0,0,0,8,0,7,0,7,0
e-governments egi,org.egov.infra.web.support.search,DataTableSearchRequest.Order,17,0,0,0,7,0,5,0,5,0
e-governments egi,org.egov.infra.web.support.search,DataTableSearchRequest.Columns,24,0,0,0,10,0,7,0,7,0
e-governments egi,org.egov.infra.web.support.search,DataTableSearchRequest.DataTableSearchParam,67,0,2,0,16,0,12,0,11,0
e-governments egi,org.egov.infra.filestore.entity,FileStoreMapper,48,44,5,3,16,13,13,5,9,5
e-governments egi,org.egov.infra.validation,ValidatorUtils,64,0,14,0,16,0,11,0,4,0
e-governments egi,org.egov.infra.admin.master.entity.es,CityIndex,66,0,0,0,28,0,19,0,19,0
e-governments egi,org.egov.infra.security.token.service,TokenService,69,0,6,0,16,0,8,0,5,0
e-governments egi,org.egov.infra.security.token.entity,Token,57,0,2,0,17,0,13,0,12,0
e-governments egi,org.egov.infra.security.utils,SecurityConstants,3,0,0,0,2,0,1,0,1,0
e-governments egi,org.egov.infra.security.utils,HMAC,37,0,0,0,8,0,3,0,3,0
e-governments egi,org.egov.infra.security.utils,SecureCodeUtils,72,0,0,0,15,0,6,0,6,0
e-governments egi,org.egov.infra.security.utils,VirtualSanitizer,70,0,6,0,18,0,8,0,5,0
e-governments egi,org.egov.infra.security.utils,SecurityUtils,63,0,8,0,13,0,13,0,9,0
e-governments egi,org.egov.infra.utils.autonumber,AutonumberServiceBeanResolver,51,0,8,0,10,0,6,0,2,0
e-governments egi,org.egov.infstr.utils,LabelValueBean,17,0,0,0,7,0,5,0,5,0
e-governments egi,org.egov.infstr.utils,EgovMasterDataCaching,1008,0,74,0,201,0,58,0,21,0
e-governments egi,org.egov.infstr.utils,EGovConfig,360,0,30,0,60,0,33,0,18,0
e-governments egi,org.egov.infra.config.security.voter,ApplicationDecisionVoter,18,0,4,0,6,0,6,0,4,0
e-governments egi,org.egov.infra.security.audit.service,LoginAttemptService,101,0,8,0,25,0,8,0,4,0
