GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-governments egi web,org.egov.infra.web.controller.admin.masters.department,CreateDepartmentController,0,36,0,2,0,10,0,5,0,4
e-governments egi web,org.egov.infra.web.controller.admin.masters.department,UpdateDepartmentController,0,37,0,2,0,10,0,5,0,4
e-governments egi web,org.egov.infra.web.controller.admin.masters.department,ViewDepartmentController,0,13,0,0,0,5,0,3,0,3
e-governments egi web,org.egov.infra.web.controller.admin.masters.department,SearchDepartmentController,0,39,0,0,0,8,0,5,0,5
e-governments egi web,org.egov.infra.web.controller.admin.auditing.report,UserPasswordChangeAuditReportController,19,0,0,0,5,0,3,0,3,0
e-governments egi web,org.egov.infra.web.controller.admin.auditing.report,FeatureRoleChangeAuditReportController,26,0,0,0,6,0,3,0,3,0
e-governments egi web,org.egov.infra.web.controller.admin.auditing.report,LoginAuditReportController,23,0,0,0,6,0,5,0,5,0
e-governments egi web,org.egov.infra.web.controller.admin.auditing.report,UserRoleChangeAuditReportController,19,0,0,0,5,0,3,0,3,0
e-governments egi web,org.egov.infra.web.controller.admin.masters.user,UserController,51,0,0,0,12,0,5,0,5,0
e-governments egi web,org.egov.infra.web.controller.admin.masters.user,ResetPasswordController,27,0,0,0,6,0,3,0,3,0
e-governments egi web,org.egov.infra.web.controller.admin.masters.boundary,ViewBoundaryController,15,0,0,0,4,0,3,0,3,0
e-governments egi web,org.egov.infra.web.controller.admin.masters.boundary,SearchBoundaryController,36,0,0,0,9,0,6,0,6,0
e-governments egi web,org.egov.infra.web.controller.admin.masters.boundary,CreateBoundaryController,112,0,6,0,23,0,9,0,6,0
e-governments egi web,org.egov.infra.web.controller.admin.masters.boundary,UpdateBoundaryController,84,0,4,0,16,0,8,0,6,0
e-governments egi web,org.egov.infra.web.controller.common,FileDownloadController,126,0,18,0,13,0,13,0,4,0
e-governments egi web,org.egov.infra.web.controller.common,AadhaarInfoController,32,0,0,0,5,0,4,0,4,0
e-governments egi web,org.egov.infra.web.controller,TaskController,10,0,0,0,3,0,2,0,2,0
e-governments egi web,org.egov.infra.web.controller,HomeController,301,0,26,0,49,0,25,0,12,0
e-governments egi web,org.egov.infra.web.controller,InboxController,21,0,0,0,5,0,5,0,5,0
e-governments egi web,org.egov.infra.web.controller,LoginController,108,0,4,0,16,0,8,0,6,0
e-governments egi web,org.egov.infra.web.controller.admin.masters.crosshierarchy,SearchCrossHierarchyController,35,0,2,0,8,0,6,0,5,0
e-governments egi web,org.egov.infra.web.controller.admin.masters.crosshierarchy,ModifyCrossHierarchyController,64,0,2,0,15,0,5,0,4,0
