GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-governments eis,org.egov.eis.utils.constants,EisConstants,10,0,0,0,3,0,2,0,2,0
e-governments eis,org.egov.eis.es.utils,EISDashBoardUtils,140,0,22,0,37,0,15,0,4,0
e-governments eis,org.egov.pims.dao,PersonalInformationHibernateDAO,781,0,62,0,183,0,50,0,19,0
e-governments eis,org.egov.pims.dao,GenericMasterDAO,123,0,0,0,24,0,6,0,6,0
e-governments eis,org.egov.pims.dao,StatusMasterDAO,127,0,0,0,26,0,7,0,7,0
e-governments eis,org.egov.pims.dao,AssignmentHibernateDAO,378,0,36,0,83,0,28,0,10,0
e-governments eis,org.egov.eis.entity.enums,EmployeeGrievanceStatus,58,0,0,0,2,0,4,0,4,0
e-governments eis,org.egov.eis.entity.enums,EmployeeStatus,122,0,0,0,3,0,5,0,5,0
e-governments eis,org.egov.eis.contract,EmployeeDetailsResponse,17,0,0,0,7,0,5,0,5,0
e-governments eis,org.egov.eis.contract,EmployeeRequest,38,0,0,0,16,0,11,0,11,0
e-governments eis,org.egov.eis.contract,EmployeeResponse,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.eis.contract,RequestInfo,73,0,0,0,31,0,21,0,21,0
e-governments eis,org.egov.eis.contract,ResponseInfo,45,0,0,0,19,0,13,0,13,0
e-governments eis,org.egov.eis.contract,ErrorDetail,28,0,0,0,12,0,6,0,6,0
e-governments eis,org.egov.eis.contract,DepartmentResponse,22,0,0,0,8,0,5,0,5,0
e-governments eis,org.egov.pims.model,EmpPosition,81,0,0,0,26,0,18,0,18,0
e-governments eis,org.egov.pims.model,ReligionMaster,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.model,CategoryMaster,38,0,0,0,16,0,11,0,11,0
e-governments eis,org.egov.pims.model,TypeOfRecruimentMaster,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.model,PersonalInformation,434,0,4,0,175,0,114,0,112,0
e-governments eis,org.egov.pims.model,LanguagesKnownMaster,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.model,LangKnown,39,0,0,0,18,0,9,0,9,0
e-governments eis,org.egov.pims.model,SearchEmpDTO,206,0,6,0,68,0,26,0,23,0
e-governments eis,org.egov.pims.model,StatusMaster,17,0,0,0,7,0,5,0,5,0
e-governments eis,org.egov.pims.model,ServiceHistory.new Comparator() {...},15,0,0,0,4,0,2,0,2,0
e-governments eis,org.egov.pims.model,LanguagesQulifiedMaster,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.model,CommunityMaster,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.model,RecruimentMaster,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.model,BloodGroupMaster,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.model,ServiceHistory,116,0,4,0,42,0,23,0,21,0
e-governments eis,org.egov.pims.model,EligCertType,17,0,0,0,8,0,5,0,5,0
e-governments eis,org.egov.pims.model,EisRelationType,68,0,0,0,29,0,18,0,18,0
e-governments eis,org.egov.pims.model,EmployeeNamePoJo,42,0,0,0,17,0,7,0,7,0
e-governments eis,org.egov.pims.model,EmployeeGroupMaster,38,0,0,0,16,0,11,0,11,0
e-governments eis,org.egov.eis.web.controller.workflow,AjaxWorkFlowController,258,0,24,0,49,0,19,0,7,0
e-governments eis,org.egov.eis.web.controller.workflow,AjaxWorkFlowController.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
e-governments eis,org.egov.eis.web.controller.workflow,GenericWorkFlowController,305,0,34,0,66,0,27,0,10,0
e-governments eis,org.egov.eis.autonumber.impl,EmployeeGrievanceNumberGeneratorImpl,23,0,0,0,4,0,2,0,2,0
e-governments eis,org.egov.eis.utils,EisUtils,146,0,0,0,41,0,7,0,7,0
e-governments eis,org.egov.eis.repository,DesignationRepositoryImpl,41,0,2,0,7,0,4,0,3,0
e-governments eis,org.egov.pims.utils,EisManagersUtill,640,0,30,0,129,0,34,0,19,0
e-governments eis,org.egov.pims.utils,EisExternalImpl,5,0,0,0,2,0,2,0,2,0
e-governments eis,org.egov.pims.utils,Helper,3,0,0,0,1,0,1,0,1,0
e-governments eis,org.egov.eis.es.dashboard,EmployeeDetailResponse,163,0,0,0,65,0,33,0,33,0
e-governments eis,org.egov.eis.es.dashboard,EmployeeDetailRequest,45,0,0,0,19,0,13,0,13,0
e-governments eis,org.egov.eis.es.dashboard,EmployeeCountResponse,171,0,0,0,67,0,37,0,37,0
e-governments eis,org.egov.eis.config,EisSchedulerConfiguration,70,0,0,0,20,0,4,0,4,0
e-governments eis,org.egov.pims.commons.service,EisCommonsServiceImpl,707,0,74,0,149,0,52,0,15,0
e-governments eis,org.egov.pims.commons.service,PositionService,92,0,4,0,20,0,6,0,4,0
e-governments eis,org.egov.eis.entity,Employee,133,0,12,0,39,0,30,0,24,0
e-governments eis,org.egov.eis.entity,HeadOfDepartments,24,0,0,0,10,0,7,0,7,0
e-governments eis,org.egov.eis.entity,EmployeeGrievanceType,45,0,0,0,19,0,13,0,13,0
e-governments eis,org.egov.eis.entity,AssignmentAdaptor,27,0,0,0,6,0,2,0,2,0
e-governments eis,org.egov.eis.entity,Jurisdiction,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.eis.entity,EmployeeAdaptor,119,0,8,0,13,0,6,0,2,0
e-governments eis,org.egov.eis.entity,EmployeeType,24,0,0,0,10,0,7,0,7,0
e-governments eis,org.egov.eis.entity,EmployeeGrievance,91,0,0,0,34,0,20,0,20,0
e-governments eis,org.egov.eis.entity,EmployeeSearchDTO,101,0,0,0,43,0,29,0,29,0
e-governments eis,org.egov.eis.entity,Assignment,155,0,6,0,55,0,35,0,32,0
e-governments eis,org.egov.eis.entity,PositionHierarchy,38,0,0,0,16,0,11,0,11,0
e-governments eis,org.egov.eis.entity,EmployeeView,122,0,0,0,52,0,35,0,35,0
e-governments eis,org.egov.eis.reports.entity,EmployeePositionResult,59,0,0,0,25,0,17,0,17,0
e-governments eis,org.egov.eis.reports.entity,EmployeeAssignmentSearch,80,0,0,0,34,0,23,0,23,0
e-governments eis,org.egov.eis.reports.entity,EmployeePositionSearch,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.commons.dao,DesignationMasterDAO,218,0,22,0,53,0,21,0,10,0
e-governments eis,org.egov.pims.commons.dao,PositionMasterDAO,165,0,6,0,40,0,12,0,9,0
e-governments eis,org.egov.eis.web.actions.workflow,GenericWorkFlowAction,325,0,28,0,79,0,43,0,29,0
e-governments eis,org.egov.eis.service,PositionMasterService,512,0,52,0,100,0,57,0,31,0
e-governments eis,org.egov.eis.service,PersonalInformationService,22,0,0,0,7,0,4,0,4,0
e-governments eis,org.egov.eis.service,AssignmentService,695,0,64,0,137,0,82,0,50,0
e-governments eis,org.egov.eis.service,EmployeeViewService,19,0,0,0,5,0,3,0,3,0
e-governments eis,org.egov.eis.service,EisCommonService,147,0,6,0,25,0,19,0,16,0
e-governments eis,org.egov.eis.service,PositionHierarchyService,115,0,24,0,22,0,21,0,9,0
